name,url,image,startDate,endDate,description,description_fr,location,city,region,page,region_abbr
Bad Day Music Festival 2025,https://www.musicfestivalwizard.com/festivals/bad-day-music-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2025/03/Bad-Day-Festival-2025-Lineup-Poster.jpg,2025-07-12,2025-07-12,"It's a good time for a Bad Day. The inaugural installment of BAD Day will feature two outdoor stages that will set the soundtrack with an eclectic mix of bluegrass, funk, reggae, house, and beyond.","C'est un bon moment pour un bad day. Le L'épisode inaugural de BAD Day comportera deux étapes en plein air qui définiront la bande de son avec un mélange éclectique de bluegrass, funk, reggae, house, and Beyond.",Brooklyn Arts District,Wilmington,North Carolina,1,NC
Bayside Festival 2025,https://www.musicfestivalwizard.com/festivals/bayside-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2023/10/Bayside-Featured-Image.jpg,2025-07-11,2025-07-12,Bayside Festival is a 2-day celebration of music and the peak of summer.,Le festival Bayside est une célébration de 2 jours de la musique et le pic de l'été.,Steam Ferry Park,Helsingborg,Sweden,1,SE
Boogietown 2025,https://www.musicfestivalwizard.com/festivals/boogietown-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2024/10/Boogietown-Hero.jpg,2025-07-12,2025-07-12,"Boogietown is a disco, soul and funk filled weekender. The festival takes place 35 minutes from London at Apps Court Farm is amongst the bends of the Thames River, ancient woodland, green hills and hidden lakes in the British Countryside.","Boogietown est une disco, soul et funk rempli de semaine. Le festival se déroule à 35 minutes de Londres à Apps Court Farm fait partie de la rivière les de The Thames River, Ancient Woodland, Green Hills et Countryside.",Apps Court Farm,London,United Kingdom,1,UK
Clout 2025,https://www.musicfestivalwizard.com/festivals/clout-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2025/04/Clout-Featured-Image.jpg,2025-07-11,2025-07-12,"'CLOUT Festival presented by JD is the only Polish festival focused on the global rap scene. Two days filled with top-shelf rap, without division into categories. The CLOUT line-up consists of the most influential foreign artists of contemporary hip-hop: from headliners to newcomers.'","'Festival d'influence présenté par JD est le Festival polonais axé sur la scène du rap global la. Deux jours remplis de rap haut de gamme, sans division en catégories. La gamme d'influence se compose de les artistes étrangers les plus influents du hip-hop contemporain: des têtes d'affiche aux nouveaux arrivants.",Bemowo Airport,Warsaw,Poland,1,PL
Dreamstate Chicago 2025,https://www.musicfestivalwizard.com/festivals/dreamstate-chicago-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2025/04/Dreamstate-Chicago-2025-Lineup-Poster.jpg,2025-07-12,2025-07-12,Dreamstate heads to Chicago for this small event.,DreamState se dirige vers Chicago pour ce petit événement.,Radius,Chicago,Illinois,1,IL
Jeezum Crow Festival 2025,https://www.musicfestivalwizard.com/festivals/jeezum-crow-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2024/03/Jeezum-Crow-Festival-2024-Lineup-Poster.jpg,2025-07-11,2025-07-12,"The intimate Jeezum Crow Festival is an annual festival loved by many. The Stateside Amphitheater is a 3000 person capacity outdoor venue which is made up of an orchestra pit, 750 stadium seats, and a grassy lawn.  ADA seating is available on all levels of the venue.","Le intime Jeezum Crow Le festival est un festival annuel aimé de beaucoup. Le L'amphithéâtre à États est un lieu extérieur à une capacité de 3000 personnes qui est composé d'une fosse d'orchestre, 750 sièges de stade, et une pelouse herbeuse.  Les sièges ADA sont disponibles à tous les niveaux du lieu le.",Stateside Amphitheater,Jay,Vermont,1,VT
Kaleidoscope Festival 2025,https://www.musicfestivalwizard.com/festivals/kaleidoscope-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2023/12/Kaleidoscope-Hero.jpg,2025-07-12,2025-07-12,"At Kaleidoscope festival you will have panoramic views across the whole city, as well as the chance to explore hidden corners of the historic Palace and 196 acres of award-winning Park. The festival is quickly becoming a must experience for music lovers, families and performers, partying their way through London’s summertime.","Au Kaleidoscope Festival, vous aurez des vues panoramiques sur la ville entière, ainsi que la chance d'explorer les coins cachés de le palais historique et 196 acres de prime parc. Le festival le devient rapidement une expérience incontournable pour les mélomanes, les familles et, faisant la fête à travers l'été de Londres.",Alexandra Palace Park,London,United Kingdom,1,UK
Kubix 2025,https://www.musicfestivalwizard.com/festivals/kubix-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2023/09/Kubix-Featured-Image.jpg,2025-07-12,2025-07-12,"Kubix features two big stages of fantastic live music, on the Main Outdoor Stage and Big Top Dance Arena, plus lots of bars, loads of food stalls with cuisine from across the globe and attractions and rides. There's something for everyone at this festival.","Kubix features two big stages of fantastic live music, on the Main Outdoor Stage and Big Top Dance Arena, plus lots of bars, loads of food stalls with cuisine from across the globe and attractions and Rides. Il y a quelque chose pour tout le monde dans ce festival.",Herrington Park,Sunderland,United Kingdom,1,UK
Lakefront Music Fest 2025,https://www.musicfestivalwizard.com/festivals/lakefront-music-fest-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2022/07/Lakefront-Hero.jpg,2025-07-11,2025-07-12,Friday night is rock night and Saturday night is country night at the Lakefront Music Fest 2022 in Minnesota.,Vendredi soir est la soirée rock et samedi soir est la soirée country à The Lakefront Music Fest 2022 en Minnesota.,Lakefront Park,Prior Lake,Minnesota,1,MN
Lallycooler 2025,https://www.musicfestivalwizard.com/festivals/lallycooler-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2025/04/Lallycooler-2025-Lineup-Poster.jpg,2025-07-11,2025-07-12,,,Great Bear Ski Valley,Sioux Falls,South Dakota,1,SD
Lost in Dreams Festival 2025,https://www.musicfestivalwizard.com/festivals/lost-in-dreams-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2024/07/Lost-In-Dreams-Logo.jpg,2025-07-11,2025-07-12,"The Lost in Dreams Festival will transform downtown Los Angles and surrounding area into a transcendental space where visitors can experience a dreamworld come to life. Expect three stages of bass, dubstep, and dance music.","Le perdu dans Dreams Festival transformera le centre-ville de Los Angles et la zone environnante en un espace transcendantal où les visiteurs peuvent vivre un monde de rêve. Attendez-vous à trois étapes de la basse, dubstep, et de la musique de danse.",LA State Historic Park,Los Angeles,California,1,CA
Lost Minds Festival 2025,https://www.musicfestivalwizard.com/festivals/lost-minds-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2024/06/Lost-Minds-Hero.jpg,2025-07-12,2025-07-12,"Lost Minds promises to be the ultimate EDM, trance and hardstyle festival in the northeast of the UK.","Perdu Minds promet d'être le EDM ultime, transe et Festival hardstyle dans le nord-est de le uk.",Exhibition Park,Newcastle,United Kingdom,1,UK
Pendleton Whisky Music Fest 2025,https://www.musicfestivalwizard.com/festivals/pendleton-whisky-music-fest-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2021/12/Pendleton-Whisky-Music-Fest-Hero.jpg,2025-07-12,2025-07-12,It's one big day of whiskey and country and rock at the Pendleton Whisky Music Fest.,C'est un grand jour de whisky et country and rock at the Pendleton whisky musique fest.,Pendleton Round Up Stadium,Pendleton,Oregon,1,OR
